method,variable,bias,rmse,mae
Da Xu DL,gf1,-2.3770437103770434,2.7207923816506847,2.3786453119786453
Da Xu DL,gf2,-2.5400215029844664,2.859762917842927,2.5415044674303933
Da Xu DL,gf3,-2.7935435435435436,2.996706660259552,2.7935435435435436
Da Xu DL,gf4,-2.5584584584584587,2.814521297251172,2.5585585585585586
Da Xu DL,gf5,-2.4247997997998,2.679920541339125,2.42505005005005
Da Xu DL,gf6,-2.580888580888581,2.8399846836434124,2.5811965811965814
Da Xu DL,gf7,-2.35975975975976,2.6526208665505067,2.36056056056056
Da Xu DL,gp1,-1.5277277277277277,1.8671202591431935,1.5285285285285286
Da Xu DL,gp2,-0.48148148148148145,0.8111139274091537,0.48148148148148145
Da Xu DL,gp3,-0.6952336952336953,1.275153272407578,0.6995456995456996
Da Xu DL,gp4,-1.0163496830163496,1.471393336687133,1.0163496830163496
Da Xu DL,gp5,-0.49255505505505504,1.0602380480363673,0.4938063063063063
Da Xu DL,gp6,-0.8210938210938211,1.3364516934970168,0.822003822003822
Da Xu DL,gp7,-0.5734067400734068,1.0695150363979027,0.5849182515849183
Da Xu DL,gs1,-2.9342069342069346,3.111557393869675,2.9342069342069346
Da Xu DL,gs2,-3.4665915915915915,3.568919529858754,3.4665915915915915
Da Xu DL,gs3,-3.1765098431765098,3.321062139169903,3.1766766766766765
Da Xu DL,gs4,-3.1211556383970174,3.3056032099790205,3.1221221221221223
Da Xu DL,gs5,-3.3091424758091423,3.449952722512095,3.3095595595595597
Da Xu DL,gs6,-3.4610764610764613,3.6231376146908443,3.4615384615384617
Da Xu DL,gs7,-2.1911531784949507,2.6482667383101197,2.193801396333042
KNN,a_act11,-0.01672,1.0880116086029255,0.85352
KNN,a_c2,-0.017599999999999994,1.5150545809196667,1.2928
KNN,a_c6,0.02536363636363637,1.4741947908574184,1.2399454545454547
KNN,a_e1,-0.07621818181818181,1.7529974210915882,1.529490909090909
KNN,a_e2,-0.056999999999999995,1.3613778811790562,1.0823454545454545
KNN,a_e3,-0.047022222222222215,1.045889340366545,0.7569777777777777
KNN,a_e4,-0.05270909090909091,1.3034331491592688,1.0555818181818182
KNN,a_e5,-0.03252307692307691,1.1246479990898306,0.8580307692307693
KNN,a_e6,0.09265,1.6065942913948517,1.36205
KNN,a_e7,-0.033739999999999985,1.0545877195439566,0.75858
KNN,a_hn1,0.07840000000000003,1.5687729510522437,1.3564266666666667
KNN,a_hn10,0.021289999999999972,0.9390128328177711,0.6818099999999999
KNN,a_hn2,-0.026459999999999997,1.2492220039067294,1.0442
KNN,a_hn3,-0.050166666666666665,0.9434544026275784,0.6887333333333333
KNN,a_hn4,0.03314166666666666,1.489152109446837,1.2412750000000001
KNN,a_hn5,0.03178181818181819,1.5688920094502268,1.3674727272727274
KNN,a_hn7,0.053057142857142865,1.6060240895602524,1.3738380952380953
KNN,ge1,-0.029666666666666675,1.1125181742536163,0.928
KNN,ge2,0.028475000000000007,1.3391114393108259,1.10185
KNN,ge3,-0.028748387096774193,1.0934311045427363,0.8252129032258065
KNN,ge4,-0.019290909090909084,1.3605812861148847,1.1294363636363638
KNN,ge5,-0.004400000000000005,1.3500777595802858,1.122618181818182
KNN,ge6,-0.05399999999999999,1.3809278458478207,1.1326800000000001
KNN,gf1,0.03822666666666668,1.3876327052928599,1.16052
KNN,gf2,0.05942222222222222,1.3546995985220294,1.091437037037037
KNN,gf3,0.032000000000000015,1.1050006124055944,0.92495
KNN,gf4,0.030510000000000006,1.24578380192072,1.03343
KNN,gf5,0.02057500000000001,1.263280596072144,1.055825
KNN,gf6,0.01616923076923078,1.2426136721905285,1.0122615384615385
KNN,gf7,0.05400000000000001,1.2726017212165526,1.06888
KNN,gp1,-0.10436,1.1754782966958517,1.01364
